x1,x2,y
-2.988371860898040300e+00,8.828627151534504947e+00,0.000000000000000000e+00
5.722930079403377945e+00,3.026971735975634736e+00,1.000000000000000000e+00
-3.053580347577932841e+00,9.125208717908186884e+00,0.000000000000000000e+00
5.461938996222591491e+00,3.869962666594679135e+00,1.000000000000000000e+00
4.867338770832231098e+00,3.280312438223160321e+00,1.000000000000000000e+00
-2.147802017544336195e+00,1.055232269466429074e+01,0.000000000000000000e+00
4.916569635558120765e+00,2.800352932976755582e+00,1.000000000000000000e+00
3.089215405161968686e+00,2.041732658746759466e+00,1.000000000000000000e+00
-2.901305776184907703e+00,7.550771180066202959e+00,0.000000000000000000e+00
-3.348415146275388832e+00,8.705073752347107785e+00,0.000000000000000000e+00
-2.441669418364826427e+00,7.589537941984865199e+00,0.000000000000000000e+00
3.402928125350019428e+00,6.527130708564556905e-01,1.000000000000000000e+00
-2.978672008987702124e+00,9.556846171784286526e+00,0.000000000000000000e+00
-3.837383671951180908e+00,9.211147364067445054e+00,0.000000000000000000e+00
3.959854114649610679e+00,2.205423381101735636e+00,1.000000000000000000e+00
3.856625543891864183e+00,1.651108167735056309e+00,1.000000000000000000e+00
4.700109046169127502e+00,4.436411796426018128e+00,1.000000000000000000e+00
3.568986338166989292e+00,2.455642099183917182e+00,1.000000000000000000e+00
4.698087554674101440e+00,8.301993861101089056e-01,1.000000000000000000e+00
-2.417436846517247773e+00,7.026717213597429179e+00,0.000000000000000000e+00
4.853972580358305144e+00,7.274309052287439847e-01,1.000000000000000000e+00
4.447517871446978965e+00,2.274717026274344356e+00,1.000000000000000000e+00
5.430910783271148290e+00,1.063782229145993075e+00,1.000000000000000000e+00
5.603254965472423521e+00,2.385950610877230371e+00,1.000000000000000000e+00
4.899761630476525021e+00,2.754992555718042357e+00,1.000000000000000000e+00
-9.299848075453587271e-01,9.781720857351229981e+00,0.000000000000000000e+00
4.562777126813997164e+00,2.314321658757375832e+00,1.000000000000000000e+00
-1.696671800658552165e+00,1.037052615676914513e+01,0.000000000000000000e+00
5.161820401844998685e+00,2.270154357173918225e+00,1.000000000000000000e+00
4.375222002990144965e+00,4.693338850530350825e+00,1.000000000000000000e+00
-2.743350997776086153e+00,8.780149171249140849e+00,0.000000000000000000e+00
-3.987719613420177556e+00,8.294441919803613672e+00,0.000000000000000000e+00
-3.660191200475052753e+00,9.389984146543993049e+00,0.000000000000000000e+00
-1.043548854131196135e+00,8.788509827711786571e+00,0.000000000000000000e+00
-2.165579333484288771e+00,7.251245972835587139e+00,0.000000000000000000e+00
5.226735930028371335e+00,4.163625309750710102e+00,1.000000000000000000e+00
