epoch,costo,beta_0,beta_1
0,0.0311914,-6.23437e-16,0.968306
100,0.0311914,-6.24591e-16,0.968306
200,0.0311914,-6.25746e-16,0.968306
300,0.0311914,-6.26901e-16,0.968306
400,0.0311914,-6.28055e-16,0.968306
500,0.0311914,-6.2921e-16,0.968306
600,0.0311914,-6.30364e-16,0.968306
700,0.0311914,-6.31519e-16,0.968306
800,0.0311914,-6.32674e-16,0.968306
900,0.0311914,-6.33828e-16,0.968306
1000,0.0311914,-6.34983e-16,0.968306
1100,0.0311914,-6.36138e-16,0.968306
1200,0.0311914,-6.37292e-16,0.968306
1300,0.0311914,-6.38376e-16,0.968306
1400,0.0311914,-6.38379e-16,0.968306
1500,0.0311914,-6.38383e-16,0.968306
1600,0.0311914,-6.38386e-16,0.968306
1700,0.0311914,-6.38376e-16,0.968306
1800,0.0311914,-6.38379e-16,0.968306
1900,0.0311914,-6.38383e-16,0.968306
2000,0.0311914,-6.38386e-16,0.968306
2100,0.0311914,-6.38376e-16,0.968306
2200,0.0311914,-6.38379e-16,0.968306
2300,0.0311914,-6.38383e-16,0.968306
2400,0.0311914,-6.38386e-16,0.968306
2500,0.0311914,-6.38376e-16,0.968306
2600,0.0311914,-6.38379e-16,0.968306
2700,0.0311914,-6.38383e-16,0.968306
2800,0.0311914,-6.38386e-16,0.968306
2900,0.0311914,-6.38376e-16,0.968306
3000,0.0311914,-6.38379e-16,0.968306
3100,0.0311914,-6.38383e-16,0.968306
3200,0.0311914,-6.38386e-16,0.968306
3300,0.0311914,-6.38376e-16,0.968306
3400,0.0311914,-6.38379e-16,0.968306
3500,0.0311914,-6.38383e-16,0.968306
3600,0.0311914,-6.38386e-16,0.968306
3700,0.0311914,-6.38376e-16,0.968306
3800,0.0311914,-6.38379e-16,0.968306
3900,0.0311914,-6.38383e-16,0.968306
4000,0.0311914,-6.38386e-16,0.968306
4100,0.0311914,-6.38376e-16,0.968306
4200,0.0311914,-6.38379e-16,0.968306
4300,0.0311914,-6.38383e-16,0.968306
4400,0.0311914,-6.38386e-16,0.968306
4500,0.0311914,-6.38376e-16,0.968306
4600,0.0311914,-6.38379e-16,0.968306
4700,0.0311914,-6.38383e-16,0.968306
4800,0.0311914,-6.38386e-16,0.968306
4900,0.0311914,-6.38376e-16,0.968306
5000,0.0311914,-6.38379e-16,0.968306
5100,0.0311914,-6.38383e-16,0.968306
5200,0.0311914,-6.38386e-16,0.968306
5300,0.0311914,-6.38376e-16,0.968306
5400,0.0311914,-6.38379e-16,0.968306
5500,0.0311914,-6.38383e-16,0.968306
5600,0.0311914,-6.38386e-16,0.968306
5700,0.0311914,-6.38376e-16,0.968306
5800,0.0311914,-6.38379e-16,0.968306
5900,0.0311914,-6.38383e-16,0.968306
6000,0.0311914,-6.38386e-16,0.968306
6100,0.0311914,-6.38376e-16,0.968306
6200,0.0311914,-6.38379e-16,0.968306
6300,0.0311914,-6.38383e-16,0.968306
6400,0.0311914,-6.38386e-16,0.968306
6500,0.0311914,-6.38376e-16,0.968306
6600,0.0311914,-6.38379e-16,0.968306
6700,0.0311914,-6.38383e-16,0.968306
6800,0.0311914,-6.38386e-16,0.968306
6900,0.0311914,-6.38376e-16,0.968306
7000,0.0311914,-6.38379e-16,0.968306
7100,0.0311914,-6.38383e-16,0.968306
7200,0.0311914,-6.38386e-16,0.968306
7300,0.0311914,-6.38376e-16,0.968306
7400,0.0311914,-6.38379e-16,0.968306
7500,0.0311914,-6.38383e-16,0.968306
7600,0.0311914,-6.38386e-16,0.968306
7700,0.0311914,-6.38376e-16,0.968306
7800,0.0311914,-6.38379e-16,0.968306
7900,0.0311914,-6.38383e-16,0.968306
8000,0.0311914,-6.38386e-16,0.968306
8100,0.0311914,-6.38376e-16,0.968306
8200,0.0311914,-6.38379e-16,0.968306
8300,0.0311914,-6.38383e-16,0.968306
8400,0.0311914,-6.38386e-16,0.968306
8500,0.0311914,-6.38376e-16,0.968306
8600,0.0311914,-6.38379e-16,0.968306
8700,0.0311914,-6.38383e-16,0.968306
8800,0.0311914,-6.38386e-16,0.968306
8900,0.0311914,-6.38376e-16,0.968306
9000,0.0311914,-6.38379e-16,0.968306
9100,0.0311914,-6.38383e-16,0.968306
9200,0.0311914,-6.38386e-16,0.968306
9300,0.0311914,-6.38376e-16,0.968306
9400,0.0311914,-6.38379e-16,0.968306
9500,0.0311914,-6.38383e-16,0.968306
9600,0.0311914,-6.38386e-16,0.968306
9700,0.0311914,-6.38376e-16,0.968306
9800,0.0311914,-6.38379e-16,0.968306
9900,0.0311914,-6.38383e-16,0.968306
