x,y,y_pred
-0.3,3.1,-0.543781
1.9,5.8,3.96037
2,6.3,4.16511
2.3,8.4,4.77931
3.4,10.1,7.03139
4.1,12.5,8.46453
5.3,14.7,10.9213
7.7,17,15.835
8.2,18.8,16.8586
8.6,20.1,17.6776
10.1,23.6,20.7486
10.8,24.7,22.1817
12.6,26,25.8669
13,28.1,26.6859
14.2,30.5,29.1427
14.1,33.8,28.9379
15.9,35.3,32.6232
17.3,36.7,35.4894
17.3,38.7,35.4894
19.3,40.2,39.5841
19.4,43.9,39.7889
20.1,44.5,41.222
22.1,46.4,45.3167
22.6,48.6,46.3404
23.7,50.7,48.5924
24.2,52.7,49.6161
25,55.4,51.254
26,56.1,53.3013
28.5,58.5,58.4197
29.2,60.1,59.8528
29.5,63.5,60.467
30.3,65.7,62.1049
32.1,67.9,65.7901
33.5,69.1,68.6564
34.8,70.1,71.3179
34.7,73.3,71.1132
35.8,74.8,73.3653
37.4,76.1,76.641
38.7,78.3,79.3026
38,81.6,77.8694
40.2,82.2,82.3736
40.8,85.1,83.602
41,87.5,84.0115
42,89.4,86.0588
44,91.2,90.1535
44.5,92,91.1772
45.1,95.3,92.4056
47.9,97.8,98.1381
48.8,98,99.9807
48.4,101.2,99.1618
49.4,102,101.209
51.4,105.1,105.304
52.8,106.9,108.17
52.8,109.7,108.17
53,111.7,108.58
54.5,113.6,111.651
56,114.4,114.722
57.2,117.2,117.178
58.7,119.7,120.249
59.7,120.9,122.297
59.5,123.3,121.887
60.2,124.5,123.32
62.2,127.8,127.415
63.6,128.5,130.281
64,131.6,131.1
64.3,133.2,131.715
66.6,135,136.423
67.8,136.4,138.88
68.7,139.3,140.723
69.3,141.3,141.951
70.1,143.2,143.589
70.1,144.7,143.589
71.1,147.6,145.636
73.1,149.9,149.731
73.1,151.4,149.731
74.3,152.9,152.188
76.6,154,156.897
76.3,156.7,156.283
78.4,159.9,160.582
78.6,161.2,160.992
79.7,163.1,163.244
81.8,165.9,167.543
82.2,166.3,168.362
82.5,168,168.976
83.6,171.6,171.228
85.2,172.1,174.504
85.2,175.6,174.504
86.8,176,177.78
88.7,178.5,181.67
88,180.6,180.237
89.6,182.2,183.512
90.2,185,184.741
92.4,186.3,189.245
93,188,190.473
94,190.7,192.521
95.6,193.9,195.796
96.3,195.2,197.229
96.6,197.7,197.844
97.7,199.5,200.096
98.2,201.7,201.119
