x,y,y_pred
-0.3,3.1,-0.504584
1.9,5.8,3.99827
2,6.3,4.20295
2.3,8.4,4.81698
3.4,10.1,7.0684
4.1,12.5,8.50113
5.3,14.7,10.9572
7.7,17,15.8694
8.2,18.8,16.8928
8.6,20.1,17.7115
10.1,23.6,20.7817
10.8,24.7,22.2144
12.6,26,25.8985
13,28.1,26.7172
14.2,30.5,29.1733
14.1,33.8,28.9687
15.9,35.3,32.6528
17.3,36.7,35.5183
17.3,38.7,35.5183
19.3,40.2,39.6118
19.4,43.9,39.8165
20.1,44.5,41.2492
22.1,46.4,45.3427
22.6,48.6,46.3661
23.7,50.7,48.6175
24.2,52.7,49.6409
25,55.4,51.2783
26,56.1,53.325
28.5,58.5,58.4419
29.2,60.1,59.8746
29.5,63.5,60.4887
30.3,65.7,62.1261
32.1,67.9,65.8102
33.5,69.1,68.6757
34.8,70.1,71.3365
34.7,73.3,71.1318
35.8,74.8,73.3832
37.4,76.1,76.658
38.7,78.3,79.3188
38,81.6,77.8861
40.2,82.2,82.3889
40.8,85.1,83.617
41,87.5,84.0263
42,89.4,86.0731
44,91.2,90.1666
44.5,92,91.19
45.1,95.3,92.418
47.9,97.8,98.1489
48.8,98,99.991
48.4,101.2,99.1723
49.4,102,101.219
51.4,105.1,105.313
52.8,106.9,108.178
52.8,109.7,108.178
53,111.7,108.587
54.5,113.6,111.658
56,114.4,114.728
57.2,117.2,117.184
58.7,119.7,120.254
59.7,120.9,122.301
59.5,123.3,121.891
60.2,124.5,123.324
62.2,127.8,127.418
63.6,128.5,130.283
64,131.6,131.102
64.3,133.2,131.716
66.6,135,136.423
67.8,136.4,138.879
68.7,139.3,140.721
69.3,141.3,141.949
70.1,143.2,143.587
70.1,144.7,143.587
71.1,147.6,145.634
73.1,149.9,149.727
73.1,151.4,149.727
74.3,152.9,152.183
76.6,154,156.891
76.3,156.7,156.277
78.4,159.9,160.575
78.6,161.2,160.984
79.7,163.1,163.236
81.8,165.9,167.534
82.2,166.3,168.353
82.5,168,168.967
83.6,171.6,171.218
85.2,172.1,174.493
85.2,175.6,174.493
86.8,176,177.768
88.7,178.5,181.656
88,180.6,180.224
89.6,182.2,183.499
90.2,185,184.727
92.4,186.3,189.229
93,188,190.458
94,190.7,192.504
95.6,193.9,195.779
96.3,195.2,197.212
96.6,197.7,197.826
97.7,199.5,200.077
98.2,201.7,201.101
