x,y,y_pred
-0.3,3.1,-0.579488
1.9,5.8,3.92585
2,6.3,4.13063
2.3,8.4,4.745
3.4,10.1,6.99766
4.1,12.5,8.43118
5.3,14.7,10.8886
7.7,17,15.8035
8.2,18.8,16.8275
8.6,20.1,17.6466
10.1,23.6,20.7184
10.8,24.7,22.152
12.6,26,25.8381
13,28.1,26.6573
14.2,30.5,29.1148
14.1,33.8,28.91
15.9,35.3,32.5961
17.3,36.7,35.4632
17.3,38.7,35.4632
19.3,40.2,39.5589
19.4,43.9,39.7637
20.1,44.5,41.1972
22.1,46.4,45.293
22.6,48.6,46.3169
23.7,50.7,48.5696
24.2,52.7,49.5935
25,55.4,51.2318
26,56.1,53.2797
28.5,58.5,58.3994
29.2,60.1,59.8329
29.5,63.5,60.4473
30.3,65.7,62.0856
32.1,67.9,65.7718
33.5,69.1,68.6388
34.8,70.1,71.3011
34.7,73.3,71.0963
35.8,74.8,73.3489
37.4,76.1,76.6255
38.7,78.3,79.2878
38,81.6,77.8543
40.2,82.2,82.3596
40.8,85.1,83.5883
41,87.5,83.9979
42,89.4,86.0458
44,91.2,90.1415
44.5,92,91.1655
45.1,95.3,92.3942
47.9,97.8,98.1283
48.8,98,99.9714
48.4,101.2,99.1522
49.4,102,101.2
51.4,105.1,105.296
52.8,106.9,108.163
52.8,109.7,108.163
53,111.7,108.572
54.5,113.6,111.644
56,114.4,114.716
57.2,117.2,117.174
58.7,119.7,120.245
59.7,120.9,122.293
59.5,123.3,121.884
60.2,124.5,123.317
62.2,127.8,127.413
63.6,128.5,130.28
64,131.6,131.099
64.3,133.2,131.713
66.6,135,136.424
67.8,136.4,138.881
68.7,139.3,140.724
69.3,141.3,141.953
70.1,143.2,143.591
70.1,144.7,143.591
71.1,147.6,145.639
73.1,149.9,149.735
73.1,151.4,149.735
74.3,152.9,152.192
76.6,154,156.902
76.3,156.7,156.288
78.4,159.9,160.589
78.6,161.2,160.998
79.7,163.1,163.251
81.8,165.9,167.551
82.2,166.3,168.37
82.5,168,168.985
83.6,171.6,171.238
85.2,172.1,174.514
85.2,175.6,174.514
86.8,176,177.791
88.7,178.5,181.682
88,180.6,180.248
89.6,182.2,183.525
90.2,185,184.754
92.4,186.3,189.259
93,188,190.488
94,190.7,192.535
95.6,193.9,195.812
96.3,195.2,197.246
96.6,197.7,197.86
97.7,199.5,200.113
98.2,201.7,201.137
