x,y,y_pred
-0.3,3.1,-0.560687
1.9,5.8,3.77491
2,6.3,3.97199
2.3,8.4,4.5632
3.4,10.1,6.731
4.1,12.5,8.11051
5.3,14.7,10.4754
7.7,17,15.2051
8.2,18.8,16.1905
8.6,20.1,16.9788
10.1,23.6,19.9349
10.8,24.7,21.3144
12.6,26,24.8617
13,28.1,25.65
14.2,30.5,28.0149
14.1,33.8,27.8178
15.9,35.3,31.3651
17.3,36.7,34.1241
17.3,38.7,34.1241
19.3,40.2,38.0656
19.4,43.9,38.2626
20.1,44.5,39.6421
22.1,46.4,43.5836
22.6,48.6,44.569
23.7,50.7,46.7368
24.2,52.7,47.7221
25,55.4,49.2987
26,56.1,51.2694
28.5,58.5,56.1963
29.2,60.1,57.5758
29.5,63.5,58.167
30.3,65.7,59.7436
32.1,67.9,63.2909
33.5,69.1,66.0499
34.8,70.1,68.6118
34.7,73.3,68.4148
35.8,74.8,70.5826
37.4,76.1,73.7357
38.7,78.3,76.2977
38,81.6,74.9182
40.2,82.2,79.2538
40.8,85.1,80.4362
41,87.5,80.8303
42,89.4,82.8011
44,91.2,86.7425
44.5,92,87.7279
45.1,95.3,88.9103
47.9,97.8,94.4284
48.8,98,96.202
48.4,101.2,95.4137
49.4,102,97.3845
51.4,105.1,101.326
52.8,106.9,104.085
52.8,109.7,104.085
53,111.7,104.479
54.5,113.6,107.435
56,114.4,110.391
57.2,117.2,112.756
58.7,119.7,115.712
59.7,120.9,117.683
59.5,123.3,117.289
60.2,124.5,118.668
62.2,127.8,122.61
63.6,128.5,125.369
64,131.6,126.157
64.3,133.2,126.748
66.6,135,131.281
67.8,136.4,133.646
68.7,139.3,135.419
69.3,141.3,136.602
70.1,143.2,138.179
70.1,144.7,138.179
71.1,147.6,140.149
73.1,149.9,144.091
73.1,151.4,144.091
74.3,152.9,146.456
76.6,154,150.988
76.3,156.7,150.397
78.4,159.9,154.536
78.6,161.2,154.93
79.7,163.1,157.097
81.8,165.9,161.236
82.2,166.3,162.024
82.5,168,162.616
83.6,171.6,164.783
85.2,172.1,167.936
85.2,175.6,167.936
86.8,176,171.09
88.7,178.5,174.834
88,180.6,173.455
89.6,182.2,176.608
90.2,185,177.79
92.4,186.3,182.126
93,188,183.308
94,190.7,185.279
95.6,193.9,188.432
96.3,195.2,189.812
96.6,197.7,190.403
97.7,199.5,192.571
98.2,201.7,193.556
