x,y,y_pred
-0.3,3.1,-0.5755
1.9,5.8,3.9297
2,6.3,4.13448
2.3,8.4,4.74883
3.4,10.1,7.00143
4.1,12.5,8.4349
5.3,14.7,10.8923
7.7,17,15.8071
8.2,18.8,16.831
8.6,20.1,17.6501
10.1,23.6,20.7218
10.8,24.7,22.1553
12.6,26,25.8414
13,28.1,26.6605
14.2,30.5,29.1179
14.1,33.8,28.9131
15.9,35.3,32.5992
17.3,36.7,35.4661
17.3,38.7,35.4661
19.3,40.2,39.5617
19.4,43.9,39.7665
20.1,44.5,41.2
22.1,46.4,45.2956
22.6,48.6,46.3196
23.7,50.7,48.5722
24.2,52.7,49.5961
25,55.4,51.2343
26,56.1,53.2821
28.5,58.5,58.4017
29.2,60.1,59.8352
29.5,63.5,60.4495
30.3,65.7,62.0878
32.1,67.9,65.7738
33.5,69.1,68.6408
34.8,70.1,71.3029
34.7,73.3,71.0982
35.8,74.8,73.3508
37.4,76.1,76.6273
38.7,78.3,79.2894
38,81.6,77.856
40.2,82.2,82.3612
40.8,85.1,83.5899
41,87.5,83.9994
42,89.4,86.0472
44,91.2,90.1429
44.5,92,91.1668
45.1,95.3,92.3955
47.9,97.8,98.1294
48.8,98,99.9724
48.4,101.2,99.1533
49.4,102,101.201
51.4,105.1,105.297
52.8,106.9,108.164
52.8,109.7,108.164
53,111.7,108.573
54.5,113.6,111.645
56,114.4,114.717
57.2,117.2,117.174
58.7,119.7,120.246
59.7,120.9,122.294
59.5,123.3,121.884
60.2,124.5,123.318
62.2,127.8,127.413
63.6,128.5,130.28
64,131.6,131.099
64.3,133.2,131.714
66.6,135,136.424
67.8,136.4,138.881
68.7,139.3,140.724
69.3,141.3,141.953
70.1,143.2,143.591
70.1,144.7,143.591
71.1,147.6,145.639
73.1,149.9,149.734
73.1,151.4,149.734
74.3,152.9,152.192
76.6,154,156.902
76.3,156.7,156.287
78.4,159.9,160.588
78.6,161.2,160.997
79.7,163.1,163.25
81.8,165.9,167.55
82.2,166.3,168.37
82.5,168,168.984
83.6,171.6,171.237
85.2,172.1,174.513
85.2,175.6,174.513
86.8,176,177.79
88.7,178.5,181.68
88,180.6,180.247
89.6,182.2,183.523
90.2,185,184.752
92.4,186.3,189.257
93,188,190.486
94,190.7,192.534
95.6,193.9,195.81
96.3,195.2,197.244
96.6,197.7,197.858
97.7,199.5,200.111
98.2,201.7,201.135
