x,y,y_pred
-0.3,3.1,-0.561747
1.9,5.8,3.78204
2,6.3,3.97948
2.3,8.4,4.57182
3.4,10.1,6.74371
4.1,12.5,8.12582
5.3,14.7,10.4952
7.7,17,15.2338
8.2,18.8,16.2211
8.6,20.1,17.0108
10.1,23.6,19.9725
10.8,24.7,21.3546
12.6,26,24.9086
13,28.1,25.6984
14.2,30.5,28.0677
14.1,33.8,27.8703
15.9,35.3,31.4243
17.3,36.7,34.1885
17.3,38.7,34.1885
19.3,40.2,38.1374
19.4,43.9,38.3349
20.1,44.5,39.717
22.1,46.4,43.6659
22.6,48.6,44.6531
23.7,50.7,46.825
24.2,52.7,47.8122
25,55.4,49.3918
26,56.1,51.3662
28.5,58.5,56.3023
29.2,60.1,57.6844
29.5,63.5,58.2768
30.3,65.7,59.8563
32.1,67.9,63.4103
33.5,69.1,66.1746
34.8,70.1,68.7414
34.7,73.3,68.5439
35.8,74.8,70.7158
37.4,76.1,73.8749
38.7,78.3,76.4417
38,81.6,75.0596
40.2,82.2,79.4034
40.8,85.1,80.588
41,87.5,80.9829
42,89.4,82.9574
44,91.2,86.9063
44.5,92,87.8935
45.1,95.3,89.0782
47.9,97.8,94.6066
48.8,98,96.3836
48.4,101.2,95.5938
49.4,102,97.5683
51.4,105.1,101.517
52.8,106.9,104.281
52.8,109.7,104.281
53,111.7,104.676
54.5,113.6,107.638
56,114.4,110.6
57.2,117.2,112.969
58.7,119.7,115.931
59.7,120.9,117.905
59.5,123.3,117.51
60.2,124.5,118.892
62.2,127.8,122.841
63.6,128.5,125.605
64,131.6,126.395
64.3,133.2,126.988
66.6,135,131.529
67.8,136.4,133.898
68.7,139.3,135.675
69.3,141.3,136.86
70.1,143.2,138.439
70.1,144.7,138.439
71.1,147.6,140.414
73.1,149.9,144.363
73.1,151.4,144.363
74.3,152.9,146.732
76.6,154,151.273
76.3,156.7,150.681
78.4,159.9,154.827
78.6,161.2,155.222
79.7,163.1,157.394
81.8,165.9,161.54
82.2,166.3,162.33
82.5,168,162.922
83.6,171.6,165.094
85.2,172.1,168.253
85.2,175.6,168.253
86.8,176,171.413
88.7,178.5,175.164
88,180.6,173.782
89.6,182.2,176.941
90.2,185,178.126
92.4,186.3,182.47
93,188,183.654
94,190.7,185.629
95.6,193.9,188.788
96.3,195.2,190.17
96.6,197.7,190.762
97.7,199.5,192.934
98.2,201.7,193.921
